id,parent_id,level,type,name,description,status_tags,maturity,evidence_refs,source_refs,notes
CAP-002-02,CAP-002,L2,capability_module,bucket-lite 与数据库初始化,把核心状态映射到 `/persist` 并完成 PostgreSQL 初始化与恢复,specified;implemented;blocked,M4,EVD-005;EVD-006;EVD-007,docker/entrypoint.sh:112-141;docker/entrypoint.sh:171-211;docker/entrypoint.sh:561-630,
FP-005,CAP-002-02,L3,function_point,自动检测 `/persist` 并映射 `/data`,对应用维持稳定路径合同,specified;implemented,M4,EVD-005,docker/entrypoint.sh:112-141;docker/entrypoint.sh:171-211,
FP-006,CAP-002-02,L3,function_point,校验 PostgreSQL identifiers 并初始化 role database vector,保证数据库基础状态稳定,specified;implemented,M4,EVD-006,docker/entrypoint.sh:76-83;docker/entrypoint.sh:561-630,
FP-007,CAP-002-02,L3,function_point,PGDATA 失败时回退到 runtime 并尝试恢复 dump,给 bucket 语义不稳定场景提供兜底,specified;implemented;blocked,M4,EVD-007,docker/entrypoint.sh:499-555;docker/entrypoint.sh:580-601,受 BLK-004 影响
FP-008,CAP-002-02,L3,function_point,渲染 Redis/Sandbox 配置并执行 Dify migration,保证长期运行前完成必要配置与迁移,specified;implemented,M4,EVD-008,docker/entrypoint.sh:263-279;docker/entrypoint.sh:319-362;docker/entrypoint.sh:632-658,
SPEC-002,FP-007,L4,spec_candidate,bucket 故障策略合同,明确 fallback 与 exit 的默认取舍及恢复路径,planned,M2,EVD-007,docker/entrypoint.sh:506-518;docs/configuration.md:123-153,
CAP-003,CAP-000,L1,capability_domain,进程编排与单端口请求路由,让多进程在单容器内有序启动并统一经 7860 暴露,specified;implemented;blocked,M4,EVD-009;EVD-011,docker/supervisord.conf:17-156;docker/nginx.conf:46-157,
CAP-003-01,CAP-003,L2,capability_module,Supervisor 进程图与依赖等待,定义长期进程拓扑及 readiness 顺序,specified;implemented,M4,EVD-009;EVD-010,docker/supervisord.conf:17-156;docker/wait-for-core:16-49,
FP-009,CAP-003-01,L3,function_point,用 Supervisor 编排全部长期进程,形成固定启动顺序与日志出口,specified;implemented,M4,EVD-009,docker/supervisord.conf:17-156,
FP-010,CAP-003-01,L3,function_point,在启动前等待 postgres redis api ready,避免进程过早启动,specified;implemented,M4,EVD-010,docker/wait-for-core:16-49;docker/supervisord.conf:47-55,
CAP-003-02,CAP-003,L2,capability_module,单端口 Nginx 路由,通过静态配置代理 Web API Plugin Ops Admin,specified;implemented;blocked,M4,EVD-011;EVD-012;EVD-013,docker/nginx.conf:46-157;scripts/hf-space-smoke.sh:127-177,
FP-011,CAP-003-02,L3,function_point,通过 7860 代理全部公开路径,形成 Space 对外唯一入口,specified;implemented,M4,EVD-011,docker/nginx.conf:46-157,
FP-012,CAP-003-02,L3,function_point,保留 WebSocket 和 plugin hook 关键 header,保护 socket 与 hook 链路,specified;implemented,M4,EVD-012,docker/nginx.conf:86-106;docker/nginx.conf:138-149,
FP-013,CAP-003-02,L3,function_point,下发 HF iframe 兼容 CSP 并隐藏 X-Frame-Options,保证 Space 页面可嵌入,specified;implemented,M4,EVD-013,docker/nginx.conf:55-61;scripts/hf-space-smoke.sh:127-158,
SPEC-003,FP-011,L4,spec_candidate,Nginx 动态变量合同,决定是否让 `NGINX_PORT` 与 body size 真正动态生效,planned,M2,EVD-011,docker/nginx.conf:46-53;docs/configuration.md:293-300,
CAP-004,CAP-000,L1,capability_domain,Plugin 与 Sandbox 适配,把 plugin daemon 和 sandbox 接到同容器 Dify 运行时,specified;implemented;blocked,M4,EVD-014;EVD-015,docker/with-plugin-env:14-64;docker/with-sandbox-env:14-32,
CAP-004-01,CAP-004,L2,capability_module,plugin daemon 适配,映射 env 并在启动前执行 migration,specified;implemented,M4,EVD-014,docker/with-plugin-env:14-64;docker/supervisord.conf:47-55,
FP-014,CAP-004-01,L3,function_point,映射 repo env 到 plugin-daemon contract 并执行 migration,让 plugin runtime 可与 Dify API 对接,specified;implemented,M4,EVD-014,docker/with-plugin-env:14-64;docker/supervisord.conf:47-55,
CAP-004-02,CAP-004,L2,capability_module,sandbox 适配,设置默认 no-network 并修正 rootless 重启行为,specified;implemented,M4,EVD-015,docker/with-sandbox-env:14-32;docker/dify.env.runtime:156-179,
FP-015,CAP-004-02,L3,function_point,以默认 no-network 和目录清理启动 Sandbox,降低演示环境外部风险,specified;implemented,M4,EVD-015,docker/with-sandbox-env:14-32;docker/dify.env.runtime:156-179,
SPEC-004,FP-014,L4,spec_candidate,Plugin 与 Sandbox 升级回归合同,为版本升级建立固定回归项,planned,M2,EVD-014;EVD-015,Dockerfile:17-22;docs/project-overview.md:64-76,
CAP-005,CAP-000,L1,capability_domain,只读运维诊断,在不授予写权限的前提下暴露 health status metrics logs errors,specified;implemented;operable;blocked,M4,EVD-016;EVD-017;EVD-018,docker/ops_service.py:433-464;docker/ops_service.py:608-693;docs/ops-runbook.md:49-84,
CAP-005-01,CAP-005,L2,capability_module,health 与 dashboard,聚合 probe 并渲染 status system config metrics,specified;implemented;operable,M4,EVD-016;EVD-017,docker/ops_service.py:433-464;docker/ops_service.py:481-493;docker/ops_service.py:608-693,
FP-016,CAP-005-01,L3,function_point,聚合 `/healthz` 与 `/_ops/health`,给 operator 与 smoke 提供统一健康视图,specified;implemented,M4,EVD-016,docker/ops_service.py:433-464,
FP-017,CAP-005-01,L3,function_point,暴露 status system config version metrics dashboard,给 operator 提供资源和配置摘要,specified;implemented;operable,M4,EVD-017,docker/ops_service.py:481-493;docker/ops_service.py:608-693;docker/ops_service.py:805-1270,
CAP-005-02,CAP-005,L2,capability_module,日志与错误摘要,通过 whitelist tail 与 pattern 聚合辅助排障,specified;implemented,M4,EVD-018;EVD-019,docker/ops_service.py:29-46;docker/ops_service.py:721-736;docker/ops_service.py:748-802,
FP-018,CAP-005-02,L3,function_point,白名单日志 tail,避免诊断面退化为任意文件读取,specified;implemented,M4,EVD-018,docker/ops_service.py:29-46;docker/ops_service.py:721-736,
FP-019,CAP-005-02,L3,function_point,近期错误按 pattern 聚合并过滤 benign startup 行,给 operator 输出更可读的异常摘要,specified;implemented,M4,EVD-019,docker/ops_service.py:106-120;docker/ops_service.py:748-802,
SPEC-005,FP-016,L4,spec_candidate,ops-service 可迁移合同,定义如何关闭 Dify 默认 probe 并迁移到其他单容器项目,planned,M2,EVD-031,docs/architecture.md:200-215;docs/configuration.md:327-339,
CAP-006,CAP-000,L1,capability_domain,受控管理与文件边界,通过默认关闭的 `/_admin` 提供白名单动作和受限文件视图,specified;implemented;blocked;changed,M4,EVD-020;EVD-021;EVD-022,docker/admin_service.py:95-152;docker/admin_service.py:247-347;docker/admin_service.py:350-587,
CAP-006-01,CAP-006,L2,capability_module,admin auth 与动作目录,用 token cookie csrf 保护白名单管理动作,specified;implemented;changed,M4,EVD-020;EVD-021,docker/admin_service.py:95-152;docker/admin_service.py:247-347,
FP-020,CAP-006-01,L3,function_point,用 `ADMIN_ENABLED` 和 token/cookie/csrf 保护 `/_admin`,把写权限与 `/_ops` 完全隔离,specified;implemented;changed,M4,EVD-020,docker/admin_service.py:95-152;docker/admin_service.py:954-1013,
FP-021,CAP-006-01,L3,function_point,白名单 restart reload healthcheck 动作并写审计日志,为 demo operator 提供受控写能力,specified;implemented,M4,EVD-021,docker/admin_service.py:247-347;docker/admin_service.py:278-295;docker/admin_service.py:1110-1115,
CAP-006-02,CAP-006,L2,capability_module,文件与 terminal 边界,限制 file root 并把 terminal 保持为默认关闭的占位能力,specified;implemented;blocked,M4,EVD-022;EVD-023,docker/admin_service.py:350-587;docker/webssh_entrypoint.sh:47-60,
FP-022,CAP-006-02,L3,function_point,将文件操作限制在 `ADMIN_FILES_ROOT` 并保护 secret-like paths,避免管理面退化为任意文件读写,specified;implemented,M4,EVD-022,docker/admin_service.py:350-587,
FP-023,CAP-006-02,L3,function_point,暴露默认 disabled 的 terminal placeholder,为未来 break-glass terminal 预留入口,specified;implemented;blocked,M4,EVD-023,docker/webssh_entrypoint.sh:47-60;docker/nginx.conf:86-106,
SPEC-006,FP-023,L4,spec_candidate,terminal 交付决策合同,明确是否交付真实终端以及需要的安全审计边界,planned,M2,EVD-023,docker/webssh_entrypoint.sh:47-60;docs/security.md:111-114,
CAP-007,CAP-000,L1,capability_domain,部署验证与运维文档,用脚本和文档把本地 build run smoke 与 HF runtime 回读串起来,specified;implemented;blocked,M4,EVD-024,scripts/build.sh:1-4;scripts/hf-space-smoke.sh:4-177;docs/deployment.md:27-119,
CAP-007-01,CAP-007,L2,capability_module,本地与远端验证入口,提供 build run smoke 与 runtime SHA 回读的人类入口,specified;implemented;blocked,M4,EVD-024,scripts/build.sh:1-4;scripts/run-demo.sh:1-18;scripts/hf-space-smoke.sh:4-177;docs/deployment.md:27-119,
FP-024,CAP-007-01,L3,function_point,本地 build/run/smoke 与 HF runtime SHA 回读合同,把部署验证路径固定成可复用流程,specified;implemented;blocked,M4,EVD-024,scripts/build.sh:1-4;scripts/run-demo.sh:1-18;scripts/hf-space-smoke.sh:4-177;docs/deployment.md:27-119,
SPEC-007,FP-024,L4,spec_candidate,发布证据链合同,定义 build smoke runtime.sha 的最小交付包,planned,M2,EVD-026,docs/deployment.md:51-119;docs/ops-runbook.md:286-315,
